Designator,Mid X,Mid Y,Layer,Rotation
D0,79.199997,19.528068,T,180
D1,61.399997,51.578068,T,180
D2,42.099997,51.578068,T,180
D3,19.299997,51.578068,T,180
D4,2.079997,50.641068,T,180
D5,-18.800003,51.578068,T,180
D6,-37.850003,51.578068,T,180
D7,-61.150003,51.578068,T,180
D08_RH10,-104.775003,14.528068,T,180
D10,79.199997,0.478068,T,180
D11,57.149997,19.528068,T,180
D12,38.099997,22.028068,T,180
D13,19.049997,24.528068,T,180
D14,2.229997,28.641068,T,180
D15,-19.050003,25.528068,T,180
D16,-38.100003,20.028068,T,180
D17,-57.150003,14.528068,T,180
D18,-11.200003,65.131068,T,90
D18_RH10,-76.200003,12.741068,T,180
D20,79.199997,-18.571932,T,180
D21,57.149997,0.478068,T,180
D22,38.099997,2.978068,T,180
D23,19.049997,5.478068,T,180
D24,2.159997,9.601068,T,180
D25,-19.050003,6.478068,T,180
D26,-38.100003,0.978068,T,180
D27,-59.490003,-4.521932,T,180
D28_RH10,-101.190003,-10.148932,T,180
D30,76.669997,-41.968932,T,172
D31,57.149997,-18.571932,T,180
D32,38.099997,-16.071932,T,180
D33,19.049997,-13.571932,T,180
D34,-0.000003,-8.571932,T,180
D35,-19.050003,-12.571932,T,180
D36,-38.100003,-18.071932,T,180
D37,-68.520003,-23.571932,T,180
D38_RH10,-82.890003,-4.568932,T,180
D40,74.009997,-60.798932,T,172
D41,57.179997,-39.518932,T,180
D42,38.099997,-35.121932,T,180
D43,19.049997,-32.621932,T,180
D44,-0.000003,-27.621932,T,180
D45,-19.050003,-31.621932,T,180
D46,-38.100003,-37.121932,T,180
D47,-71.340003,-42.621932,T,180
D48_RH10,-101.030003,-12.968932,T,180
D50,71.513392,-79.698932,T,172
D51,53.869997,-67.578932,T,172
D52,34.869997,-64.928932,T,172
D53,34.491457,-67.258932,T,172
D54,-4.380003,-29.858932,T,180
D55,-23.900003,-33.878932,T,180
D56,-38.100003,-56.171932,T,180
D57,-59.531253,-61.671932,T,180
D58,-83.343753,-61.671932,T,180
